,head,tail,realation
0,毛泽东,马克思列宁主义,信仰
1,朱德,马克思列宁主义,信仰
2,邓小平,共产主义,信仰
3,陈云,共产主义,信仰
4,任弼时,共产主义,信仰
5,邓颖超,共产主义,信仰
6,王震,共产主义,信仰
7,彭真,共产主义,信仰
8,习仲勋,共产主义,信仰
9,谷牧,辩证唯物主义,信仰
10,朱德,马克思列宁主义,信仰
11,陈毅,共产主义,信仰
12,聂荣臻,共产主义,信仰
13,叶剑英,马克思列宁主义,信仰
14,叶剑英,共产主义,信仰
15,黄克诚,共产主义,信仰
16,陈赓,共产主义,信仰
17,谭政,共产主义,信仰
18,萧劲光,共产主义,信仰
19,张云逸,共产主义,信仰
20,罗瑞卿,共产主义,信仰
21,王树声,共产主义,信仰
22,许光达,共产主义,信仰
23,瞿秋白,共产主义,信仰
24,方志敏,共产主义,信仰
25,彭雪枫,共产主义,信仰
26,蔡和森,共产主义,信仰
27,毛泽民,马克思列宁主义,信仰
28,刘志丹,共产主义,信仰
29,彭湃,共产主义,信仰
30,潘汉年,共产主义,信仰
31,陈延年,共产主义,信仰
32,苏兆征,共产主义,信仰
33,邓恩铭,共产主义,信仰
34,滕代远,共产主义,信仰
35,彭干臣,中国共产党,信仰
36,王佐,共产主义,信仰
37,钱壮飞,共产主义 ,信仰
38,徐海东,共产主义,信仰
39,江上青,共产主义,信仰
