,head,tail,realation
0,周恩来,党的创建人之一和核心领导成员,主要成就
1,刘少奇,曾任中华人民共和国主席,主要成就
2,刘少奇,曾任全国人民代表大会常务委员会委员长,主要成就
3,邓小平,创立邓小平理论 ,主要成就
4,陈云,国务院副总理 ,主要成就
5,陈云,财政经济委员会主任 ,主要成就
6,陈云,商业部部长 ,主要成就
7,陈云,我党杰出的经济工作领导人,主要成就
8,王震,中华人民共和国副主席 ,主要成就
9,王震,国务院副总理  ,主要成就
10,王震,中共中央党校校长,主要成就
11,谭震林,中央政治局委员,主要成就
12,谭震林,全国人大常委会副委员长,主要成就
13,谭震林,国务院副总理,主要成就
14,刘伯承,无产阶级革命家,职业
15,贺龙,无产阶级革命家,职务
16,贺龙,军事家,职务
17,聂荣臻,无产阶级革命家,职业
18,聂荣臻,政治家,职业
19,聂荣臻,军事家,职业
20,叶剑英,无产阶级革命家,职业
21,叶剑英,政治家,职业
22,叶剑英,军事家,职业
23,方志敏,无产阶级革命家,职业
24,方志敏,军事家,职业
25,江上青,无产阶级革命家,职业
26,黄继光,中国人民志愿军特级战斗英雄 朝鲜民主主义人民共和国英雄,主要成就
27,陈潭秋,无产阶级革命家,职业
28,林伯渠,无产阶级革命家,职业
29,林伯渠,教育家,职业
30,潘汉年,左翼文化运动的创始人和领导人,主要成就
31,邓恩铭,中国共产党创始人之一 ,主要成就
32,邓恩铭,中共一大代表 ,主要成就
33,邓恩铭,中共山东省委书记 ,主要成就
34,邓恩铭,领导胶济铁路工人大罢工,主要成就
35,王尔琢,无产阶级军事家,职业
36,邓小平,全面建设小康社会,提出
37,江泽民,提出三个代表重要思想,成就
