,head,tail,realation
0,毛泽东,毛泽东与中国共产党人精神谱系的构建,相关文献
1,毛泽东,毛泽东对党的自我革命的理论思考及其当代价值,相关文献
2,毛泽东,在哲学通史中理解毛泽东认识论的“飞跃”理论,相关文献
3,毛泽东,毛泽东党的先进性建设思想及其当代启示,相关文献
4,毛泽东,毛泽东《党委会的工作方法》的理论价值和现实意义——兼论重温马克思主义经典著作的学习方法和思想方法,相关文献
5,毛泽东,《毛泽东军事文集》编辑的回顾与思考,相关文献
6,毛泽东,毛泽东政治协商的价值目标、基本职能与中国特色,相关文献
7,毛泽东,论毛泽东新文化运动时期的中西文化融合思想,相关文献
8,周恩来,从暗战到外交 熊向晖追随周恩来的四十年,相关文献
9,周恩来,新中国成立后周恩来关于防灾减灾救灾的思想,相关文献
10,周恩来,保持共产党人的政治操守和优良作风——重读周恩来《过好“五关”》,相关文献
11,周恩来,周恩来对日外交思想中蕴含的智慧,相关文献
12,周恩来,中日关系：周恩来最具创造性的外交杰作,相关文献
13,周恩来,毛泽东周恩来在对美外交上的珠联璧合,相关文献
14,周恩来,周恩来的疫情防控实践与思想,相关文献
15,周恩来,周恩来自我批评思想对党风建设的启示,相关文献
16,刘少奇,牢牢掌握党对宣传思想工作的领导权——学习刘少奇《党在宣传战线上的任务》,相关文献
17,刘少奇,“纪念刘少奇湖南农村调查60周年学术研讨会暨刘少奇思想生平研究会年会”在长沙县召开,相关文献
18,刘少奇,一篇党史学习教育的经典教材——重温刘少奇《中国历史的发展离不开中国共产党》,相关文献
19,刘少奇,刘少奇共青团建设思想及其现实启示,相关文献
20,刘少奇,理论学习时刻不能放松——读刘少奇《答宋亮同志》,相关文献
21,刘少奇,刘少奇加强华中敌后党的建设探析 (1939—1942),相关文献
22,刘少奇,刘少奇党建“四论” 对党员修养问题的思考与贡献,相关文献
23,刘少奇,全国中小学生研学实践教育基地 刘少奇同志纪念馆,相关文献
24,朱德,朱德关于建立世界反法西斯统一战线的思考与实践,相关文献
25,朱德,加强纪律性 革命无不胜——重温朱德《加强党的纪律检查工作》,相关文献
26,朱德,"学习习近平总书记重要讲话,深化朱德思想生平研究——“朱德与中华民族的伟大复兴”学术研讨会述要",相关文献
27,朱德,朱德关于军事技术地位的思想述论,相关文献
28,朱德,"“世界上一切战争,就决定于兵器的变迁”——朱德军工建设思想探析",相关文献
29,朱德,抗战时期朱德宣传战思想探析,相关文献
30,朱德,朱德总力战思想研究,相关文献
31,朱德,论朱德在抗战时期对党的几个重大决策的突出贡献,相关文献
32,邓小平,邓小平对中国特色社会主义理论与实践的开创性贡献,相关文献
33,邓小平,党的七大：邓小平政治生涯的新起点——从邓小平对党的七大路线形成的贡献谈起,相关文献
34,邓小平,邓小平社会主义优越性思想及其当代价值,相关文献
35,邓小平,党的历史是最生动、最有说服力的教科书——深入学习《毛泽东邓小平江泽民胡锦涛关于中国共产党历史论述摘编》,相关文献
36,邓小平,邓小平的小康社会构想与苏州的实践,相关文献
37,邓小平,总结历史是为了开辟未来——重温邓小平关于党的历史的论述,相关文献
38,邓小平,主政西南时期邓小平思想政治教育的实践与启示,相关文献
39,邓小平,邓小平党风建设思想及其现实意义,相关文献
40,陈云,解放战争时期陈云与东北党的群众工作,相关文献
41,陈云,陈云抓党风建设的言与行,相关文献
42,陈云,陈云哲学小组:实事求是思想路线确立的推进器,相关文献
43,陈云,陈云关于党的政治建设重要论述：内容、特点及启示,相关文献
44,陈云,陈云关于经济建设的几个思想和工作方法,相关文献
45,陈云,陈云关于社会主义意识形态建设的思想及现实启示,相关文献
46,陈云,抗战时期陈云同志加强党对青年工作领导的方式、特点及启示,相关文献
47,陈云,陈云对待干部政治生命的态度,相关文献
48,任弼时,“党的骆驼”任弼时,相关文献
49,任弼时,任弼时的军事思想和实践,相关文献
50,任弼时,党的全面领导的“集结号”:任弼时《关于党的一元化领导问题》,相关文献
51,任弼时,任弼时：“党的骆驼 中国人民的骆驼”,相关文献
52,任弼时,全面抗战时期任弼时与党的统一战线工作,相关文献
53,任弼时,全面抗战时期任弼时与党的统一战线工作,相关文献
54,任弼时,任弼时是如何做好思想政治工作的,相关文献
55,任弼时,任弼时怎样“按实际情形而运用经验与理论”——以1924年9月—1928年3月的青年团工作为例,相关文献
56,董必武,论董必武的经济思想及其现实启示,相关文献
57,董必武,董必武：中国共产党的创始人之一,相关文献
