,head,tail,realation
0,中国共产党第五次全国代表大会,陈独秀,主要人员
1,中国共产党第五次全国代表大会,蔡和森,主要人员
2,中国共产党第五次全国代表大会,瞿秋白,主要人员
3,中国共产党第五次全国代表大会,毛泽东,主要人员
4,中国共产党第五次全国代表大会,刘少奇,主要人员
5,中国共产党第五次全国代表大会,任弼时,主要人员
6,中国共产党第七次全国代表大会,毛泽东,主要人员
7,中国共产党第七次全国代表大会,朱德,主要人员
8,中国共产党第七次全国代表大会,刘少奇,主要人员
9,中国共产党第七次全国代表大会,周恩来,主要人员
10,中国共产党第七次全国代表大会,任弼时,主要人员
11,中国共产党第一次全国代表大会,陈独秀,代表
12,中国共产党第一次全国代表大会,张国焘,代表
13,中国共产党第一次全国代表大会,李达,代表
14,中国共产党第一次全国代表大会,毛泽东,代表
15,十一届三中全会,华国锋,主持人
16,七千人大会,毛泽东,主要人物
17,七千人大会,刘少奇,主要人物
18,七千人大会,周恩来,主要人物
19,七千人大会,邓小平,主要人物
20,庐山会议,毛泽东,开幕式主持
21,改革开放,邓小平,总设计师
22,中国共产党第十六次全国代表大会,邓小平,主要人物
