,head,tail,realation
0,习近平新时代中国特色社会主义思想,习近平谈治国理政(第一卷),原著
1,习近平新时代中国特色社会主义思想,习近平谈治国理政(第二卷),原著
2,习近平新时代中国特色社会主义思想,习近平关于全面建成小康社会论述摘编,原著
3,习近平新时代中国特色社会主义思想,习近平关于社会主义文化建设论述摘编,原著
4,习近平新时代中国特色社会主义思想,习近平关于党风廉政建设和反腐败斗争论述摘编,原著
5,习近平新时代中国特色社会主义思想,习近平关于实现中华民族伟大复兴的中国梦论述摘编,原著
6,习近平新时代中国特色社会主义思想,习近平关于严明党的纪律和规矩论述摘编,原著
7,习近平新时代中国特色社会主义思想,习近平关于全面依法治国论述摘编,原著
8,习近平新时代中国特色社会主义思想,习近平关于全面从严治党论述摘编,原著
9,习近平新时代中国特色社会主义思想,习近平关于科技创新论述摘编,原著
10,习近平新时代中国特色社会主义思想,习近平关于协调推进“四个全面”战略布局论述摘编,原著
11,习近平新时代中国特色社会主义思想,习近平关于社会主义政治建设论述摘编,原著
12,习近平新时代中国特色社会主义思想,习近平关于社会主义生态文明建设论述摘编,原著
13,习近平新时代中国特色社会主义思想,紧紧围绕坚持和发展中国特色社会主义　学习宣传贯彻党的十八大精神——在十八届中共中央政治局第一次集体学习时的讲话,原著
14,习近平新时代中国特色社会主义思想,共同创造亚洲和世界的美好未来——在博鳌亚洲论坛2013年年会上的主旨演讲,原著
15,习近平新时代中国特色社会主义思想,出席第三届核安全峰会并访问欧洲四国和联合国教科文组织总部、欧盟总部时的演讲,原著
16,习近平新时代中国特色社会主义思想,关于在开放教育中深入开展习近平新时代中国特色社会主义思想“三进”的思考,相关文献
17,习近平新时代中国特色社会主义思想,从历史中汲取经验探寻未来——深入学习贯彻党的十九届六中全会精神“十九个深刻理解”全媒体党课特辑  第五课  深刻理解习近平新时代中国特色社会主义思想的“十个明确”,相关文献
18,习近平新时代中国特色社会主义思想,党的十九届六中全会对习近平新时代中国特色社会主义思想的五大新贡献,相关文献
19,习近平新时代中国特色社会主义思想,西藏山南市：守正创新推动习近平新时代中国特色社会主义思想“飞入寻常百姓家”,相关文献
20,习近平新时代中国特色社会主义思想,发展动力：习近平新时代中国特色社会主义思想的基本范畴,相关文献
21,科学发展观,胡锦涛文选(第一卷),原著
22,科学发展观,胡锦涛文选(第二卷),原著
23,科学发展观,胡锦涛文选(第三卷),原著
24,科学发展观,论构建社会主义和谐社会,原著
25,科学发展观,近年来科学发展观理论研究综述,相关文献
26,科学发展观,近十五年来科学发展观理论研究回溯与展望,相关文献
27,科学发展观,从《胡锦涛文选》看科学发展观的形成和发展,相关文献
28,科学发展观,五大发展理念与科学发展观之关系探要,相关文献
29,科学发展观,社会主义人民性与科学发展观的内在联系研究,相关文献
30,“三个代表”重要思想,论“三个代表”,原著
31,“三个代表”重要思想,江泽民文选（第一卷）,原著
32,“三个代表”重要思想,江泽民文选（第二卷）,原著
33,“三个代表”重要思想,江泽民文选（第三卷）,原著
34,“三个代表”重要思想,论社会主义市场经济,原著
35,“三个代表”重要思想,论科学发展观对“三个代表”重要思想的继承与发展,相关文献
36,“三个代表”重要思想,浅析“三个代表”重要思想的伦理学意蕴,相关文献
37,“三个代表”重要思想,"科学发展观同马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想一道,是党必须长期坚持的指导思想",相关文献
38,“三个代表”重要思想,党的十六大:在“三个代表”重要思想的指引下奋勇前进,相关文献
39,“三个代表”重要思想,“三个代表”重要思想对科学社会主义理论的创新,相关文献
40,邓小平理论,邓小平文选（第一卷）,原著
41,邓小平理论,邓小平文选（第二卷）,原著
42,邓小平理论,邓小平文选（第三卷）,原著
43,邓小平理论,邓小平关于建设有中国特色社会主义的论述专题摘编,原著
44,邓小平理论,邓小平同志论改革开放,原著
45,邓小平理论,历史转折中邓小平理论的发展与时代价值——重温《解放思想，实事求是，团结一致向前看》讲话,相关文献
46,邓小平理论,习近平新时代中国特色社会主义思想对邓小平理论的坚持、发展和创新,相关文献
47,邓小平理论,邓小平理论为中国特色社会主义大厦奠定了坚实基础,相关文献
48,邓小平理论,陈云的核心意识与邓小平理论的形成,相关文献
49,邓小平理论,邓小平理论面对的时代性课题,相关文献
50,毛泽东思想,毛泽东选集（第一卷）,原著
51,毛泽东思想,毛泽东选集（第二卷）,原著
52,毛泽东思想,毛泽东选集（第三卷）,原著
53,毛泽东思想,毛泽东选集（第四卷）,原著
54,毛泽东思想,毛泽东著作选读（上册）,原著
55,毛泽东思想,毛泽东著作选读（下册）,原著
56,毛泽东思想,《群众》周刊(1937—1949)传播毛泽东思想的文本样态及启示,相关文献
57,毛泽东思想,毛泽东思想政治教育方法及对高校思想政治教育的启示,相关文献
58,毛泽东思想,百年历史交汇点的毛泽东思想——“第八届中国社会科学院毛泽东思想论坛”综述,相关文献
59,毛泽东思想,第八届中国社会科学院毛泽东思想论坛,相关文献
60,毛泽东思想,习近平新时代中国特色社会主义思想对毛泽东思想的继承和发展,相关文献
61,马克思列宁主义,《列宁选集》第三版修订版（第一卷）,原著
62,马克思列宁主义,《列宁选集》第三版修订版（第二卷）,原著
63,马克思列宁主义,《列宁选集》第三版修订版（第三卷）,原著
64,马克思列宁主义,《列宁选集》第三版修订版（第四卷）,原著
65,马克思列宁主义,马克思恩格斯全集,原著
66,马克思列宁主义,资本论,原著
67,马克思列宁主义,俄国—苏联的马克思列宁主义著作传入中国的历史回顾,相关文献
68,马克思列宁主义,“十月革命与马克思列宁主义传入中国”学术报告会在京举行,相关文献
69,马克思列宁主义,列宁主义是马克思主义中国化的重要理论基础,相关文献
70,马克思列宁主义,列宁主义早期传播与马克思主义中国化研究,相关文献
71,马克思列宁主义,列宁主义与中国革命——重新理解马克思主义中国化的历史视角,相关文献
